#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="coalescent" spec="beast.structuredCoalescent.distribution.Masco">
#            <parameter id="stepSize" name="timeStep">0.01</parameter>
#            <parameter dimension="2" id="coalRates" name="coalescentRates">2.0 4.0</parameter>
#            <parameter dimension="2" id="migRates" name="migrationRates" upper="140.0">0.001 0.01</parameter>
#            <dim id="IntegerParameter" lower="0" spec="beast.core.parameter.IntegerParameter" upper="0">2</dim>
#            <structuredTreeIntervals id="TreeIntervals" spec="beast.structuredCoalescent.distribution.StructuredTreeIntervals">
#                <tree id="NewickTree.t:Species"/>
#            </structuredTreeIntervals>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRates1	migRates2	coalRates1	coalRates2	posterior
128	0.01286536634218214	0.01	2.0	4.0	-104.4967583585515
129	0.013122673669025782	0.01	2.0	4.0	-104.46716807583053
130	0.013385127142406299	0.01	2.0	4.0	-104.43770784777698
131	0.013652829685254424	0.01	2.0	4.0	-104.40838649650006
132	0.013925886278959514	0.01	2.0	4.0	-104.37921294340029
133	0.014204404004538705	0.01	2.0	4.0	-104.35019621170284
134	0.01448849208462948	0.01	2.0	4.0	-104.3213454290664
135	0.014778261926322069	0.01	2.0	4.0	-104.29266983026834
136	0.01507382716484851	0.01	2.0	4.0	-104.26417875996785
137	0.01537530370814548	0.01	2.0	4.0	-104.23588167554814
138	0.01568280978230839	0.01	2.0	4.0	-104.20778815003901
139	0.01599646597795456	0.01	2.0	4.0	-104.17990787512167
140	0.01631639529751365	0.01	2.0	4.0	-104.15225066421723
141	0.016642723203463924	0.01	2.0	4.0	-104.12482645566057
142	0.016975577667533204	0.01	2.0	4.0	-104.09764531596117
143	0.01731508922088387	0.01	2.0	4.0	-104.07071744315282
144	0.017661391005301546	0.01	2.0	4.0	-104.04405317023374
145	0.01801461882540758	0.01	2.0	4.0	-104.01766296869913
146	0.01837491120191573	0.01	2.0	4.0	-103.99155745216767
147	0.018742409425954048	0.01	2.0	4.0	-103.96574738010389
148	0.01911725761447313	0.01	2.0	4.0	-103.94024366163812
149	0.019499602766762592	0.01	2.0	4.0	-103.91505735948587
150	0.019889594822097845	0.01	2.0	4.0	-103.89019969396837
151	0.0202873867185398	0.01	2.0	4.0	-103.86568204713589
152	0.020693134452910596	0.01	2.0	4.0	-103.84151596699596
153	0.021106997141968807	0.01	2.0	4.0	-103.81771317184803
154	0.021529137084808185	0.01	2.0	4.0	-103.7942855547264
155	0.02195971982650435	0.01	2.0	4.0	-103.77124518795341
156	0.022398914223034437	0.01	2.0	4.0	-103.74860432780459
157	0.022846892507495126	0.01	2.0	4.0	-103.72637541928783
158	0.02330383035764503	0.01	2.0	4.0	-103.70457110103865
159	0.02376990696479793	0.01	2.0	4.0	-103.68320421033313
